"ID","Ozone","Solar","Wind","Temp","Month","Day","Date","Temp.C","Wind.ms"
53,NA,59,1.7,76,"June",22,"June-22",24.4444444444444,0.759968
54,NA,91,4.6,76,"June",23,"June-23",24.4444444444444,2.056384
55,NA,250,6.3,76,"June",24,"June-24",24.4444444444444,2.816352
56,NA,135,8,75,"June",25,"June-25",23.8888888888889,3.57632
57,NA,127,8,78,"June",26,"June-26",25.5555555555556,3.57632
58,NA,47,10.3,73,"June",27,"June-27",22.7777777777778,4.604512
59,NA,98,11.5,80,"June",28,"June-28",26.6666666666667,5.14096
60,NA,31,14.9,77,"June",29,"June-29",25,6.660896
61,NA,138,8,83,"June",30,"June-30",28.3333333333333,3.57632
62,135,269,4.1,84,"July",1,"July-1",28.8888888888889,1.832864
63,49,248,9.2,85,"July",2,"July-2",29.4444444444444,4.112768
64,32,236,9.2,81,"July",3,"July-3",27.2222222222222,4.112768
65,NA,101,10.9,84,"July",4,"July-4",28.8888888888889,4.872736
66,64,175,4.6,83,"July",5,"July-5",28.3333333333333,2.056384
67,40,314,10.9,83,"July",6,"July-6",28.3333333333333,4.872736
68,77,276,5.1,88,"July",7,"July-7",31.1111111111111,2.279904
69,97,267,6.3,92,"July",8,"July-8",33.3333333333333,2.816352
70,97,272,5.7,92,"July",9,"July-9",33.3333333333333,2.548128
71,85,175,7.4,89,"July",10,"July-10",31.6666666666667,3.308096
72,NA,139,8.6,82,"July",11,"July-11",27.7777777777778,3.844544
73,10,264,14.3,73,"July",12,"July-12",22.7777777777778,6.392672
74,27,175,14.9,81,"July",13,"July-13",27.2222222222222,6.660896
75,NA,291,14.9,91,"July",14,"July-14",32.7777777777778,6.660896
76,7,48,14.3,80,"July",15,"July-15",26.6666666666667,6.392672
77,48,260,6.9,81,"July",16,"July-16",27.2222222222222,3.084576
78,35,274,10.3,82,"July",17,"July-17",27.7777777777778,4.604512
79,61,285,6.3,84,"July",18,"July-18",28.8888888888889,2.816352
80,79,187,5.1,87,"July",19,"July-19",30.5555555555556,2.279904
81,63,220,11.5,85,"July",20,"July-20",29.4444444444444,5.14096
82,16,7,6.9,74,"July",21,"July-21",23.3333333333333,3.084576
83,NA,258,9.7,81,"July",22,"July-22",27.2222222222222,4.336288
84,NA,295,11.5,82,"July",23,"July-23",27.7777777777778,5.14096
85,80,294,8.6,86,"July",24,"July-24",30,3.844544
86,108,223,8,85,"July",25,"July-25",29.4444444444444,3.57632
87,20,81,8.6,82,"July",26,"July-26",27.7777777777778,3.844544
88,52,82,12,86,"July",27,"July-27",30,5.36448
89,82,213,7.4,88,"July",28,"July-28",31.1111111111111,3.308096
90,50,275,7.4,86,"July",29,"July-29",30,3.308096
91,64,253,7.4,83,"July",30,"July-30",28.3333333333333,3.308096
92,59,254,9.2,81,"July",31,"July-31",27.2222222222222,4.112768
93,39,83,6.9,81,"August",1,"August-1",27.2222222222222,3.084576
94,9,24,13.8,81,"August",2,"August-2",27.2222222222222,6.169152
95,16,77,7.4,82,"August",3,"August-3",27.7777777777778,3.308096
96,78,NA,6.9,86,"August",4,"August-4",30,3.084576
97,35,NA,7.4,85,"August",5,"August-5",29.4444444444444,3.308096
98,66,NA,4.6,87,"August",6,"August-6",30.5555555555556,2.056384
99,122,255,4,89,"August",7,"August-7",31.6666666666667,1.78816
100,89,229,10.3,90,"August",8,"August-8",32.2222222222222,4.604512
101,110,207,8,90,"August",9,"August-9",32.2222222222222,3.57632
102,NA,222,8.6,92,"August",10,"August-10",33.3333333333333,3.844544
103,NA,137,11.5,86,"August",11,"August-11",30,5.14096
104,44,192,11.5,86,"August",12,"August-12",30,5.14096
105,28,273,11.5,82,"August",13,"August-13",27.7777777777778,5.14096
106,65,157,9.7,80,"August",14,"August-14",26.6666666666667,4.336288
107,NA,64,11.5,79,"August",15,"August-15",26.1111111111111,5.14096
108,22,71,10.3,77,"August",16,"August-16",25,4.604512
109,59,51,6.3,79,"August",17,"August-17",26.1111111111111,2.816352
110,23,115,7.4,76,"August",18,"August-18",24.4444444444444,3.308096
111,31,244,10.9,78,"August",19,"August-19",25.5555555555556,4.872736
112,44,190,10.3,78,"August",20,"August-20",25.5555555555556,4.604512
113,21,259,15.5,77,"August",21,"August-21",25,6.92912
114,9,36,14.3,72,"August",22,"August-22",22.2222222222222,6.392672
115,NA,255,12.6,75,"August",23,"August-23",23.8888888888889,5.632704
116,45,212,9.7,79,"August",24,"August-24",26.1111111111111,4.336288
117,168,238,3.4,81,"August",25,"August-25",27.2222222222222,1.519936
118,73,215,8,86,"August",26,"August-26",30,3.57632
119,NA,153,5.7,88,"August",27,"August-27",31.1111111111111,2.548128
120,76,203,9.7,97,"August",28,"August-28",36.1111111111111,4.336288
121,118,225,2.3,94,"August",29,"August-29",34.4444444444444,1.028192
122,84,237,6.3,96,"August",30,"August-30",35.5555555555556,2.816352
123,85,188,6.3,94,"August",31,"August-31",34.4444444444444,2.816352
124,96,167,6.9,91,"September",1,"September-1",32.7777777777778,3.084576
125,78,197,5.1,92,"September",2,"September-2",33.3333333333333,2.279904
126,73,183,2.8,93,"September",3,"September-3",33.8888888888889,1.251712
127,91,189,4.6,93,"September",4,"September-4",33.8888888888889,2.056384
128,47,95,7.4,87,"September",5,"September-5",30.5555555555556,3.308096
129,32,92,15.5,84,"September",6,"September-6",28.8888888888889,6.92912
130,20,252,10.9,80,"September",7,"September-7",26.6666666666667,4.872736
131,23,220,10.3,78,"September",8,"September-8",25.5555555555556,4.604512
132,21,230,10.9,75,"September",9,"September-9",23.8888888888889,4.872736
133,24,259,9.7,73,"September",10,"September-10",22.7777777777778,4.336288
134,44,236,14.9,81,"September",11,"September-11",27.2222222222222,6.660896
135,21,259,15.5,76,"September",12,"September-12",24.4444444444444,6.92912
136,28,238,6.3,77,"September",13,"September-13",25,2.816352
137,9,24,10.9,71,"September",14,"September-14",21.6666666666667,4.872736
138,13,112,11.5,71,"September",15,"September-15",21.6666666666667,5.14096
139,46,237,6.9,78,"September",16,"September-16",25.5555555555556,3.084576
140,18,224,13.8,67,"September",17,"September-17",19.4444444444444,6.169152
141,13,27,10.3,76,"September",18,"September-18",24.4444444444444,4.604512
142,24,238,10.3,68,"September",19,"September-19",20,4.604512
143,16,201,8,82,"September",20,"September-20",27.7777777777778,3.57632
144,13,238,12.6,64,"September",21,"September-21",17.7777777777778,5.632704
145,23,14,9.2,71,"September",22,"September-22",21.6666666666667,4.112768
146,36,139,10.3,81,"September",23,"September-23",27.2222222222222,4.604512
147,7,49,10.3,69,"September",24,"September-24",20.5555555555556,4.604512
148,14,20,16.6,63,"September",25,"September-25",17.2222222222222,7.420864
149,30,193,6.9,70,"September",26,"September-26",21.1111111111111,3.084576
150,NA,145,13.2,77,"September",27,"September-27",25,5.900928
151,14,191,14.3,75,"September",28,"September-28",23.8888888888889,6.392672
152,18,131,8,76,"September",29,"September-29",24.4444444444444,3.57632
153,20,223,11.5,68,"September",30,"September-30",20,5.14096
